Headline,Date,Section,Article
"Three kidnap woman, rape her for a week, booked",9/3/2018,city,"GURUGRAM: Three youths have been booked for allegedly assaulting and raping a woman after kidnapping her and keeping her hostage in Kanpur. They allegedly offered the complainant, who is originally from Pataudi village, a lift to her in-laws’ place in Najafgarh, Delhi. A zero FIR was filed in Delhi lat week and the case has been transferred to Pataudi police station. The accused have been identified as Inderjeet alias Sunny, Hariom and Meer Singh, all residents of Khaira village, Najafgarh. The 29-year-old woman, who has two children, lives in Khaira with her parents-in-law. She had gone to her parents’ place for a visit in December last year. On December 26, Inderjeet, who was known to her, offered her a lift in his car to Khaira, which she accepted. Meer Singh and Hariom were also present in the car. instead of heading towards Khaira, the accused allegedly overpowered her and took her to Kanpur, where they held her hostage for a week and raped her. The woman told police she was made to consume a ‘poisonous substance’ as well. “I was kept sedated and confined in a room where they assaulted and raped me. They dumped me on a road in Delhi a week later and fled. I approached cops but they didn’t help me,” she told police. The woman said she somehow managed to reach home and moved to a Delhi court earlier this year after cops didn’t co-operate with her. The court directed them to file a zero FIR last week. On the court’s order, a zero FIR was filed at Chhawla police station in Najafgarh. Delhi Police sent the FIR to Gurgaon police as the crime took place in Pataudi. A fresh FIR was filed against the trio under sections 376 (rape), 365 (kidnap), 328 (causing hurt by means of poison) and 506 (criminal intimidation) of IPC at Pataudi police station on Wednesday. Inspector Poonam Singh, SHO of women’s police station, Manesar, is investigating the case. “We have registered a case, and the complainant’s statement will be recorded under Section 164 of CrPC in a city court. The accused will be arrested soon,” she said. "
An emotional Bollywood start for Shraddha Srinath,21/3/2018,city,"Multilingual actress Shraddha Srinath has just begun shooting for her Bollywood debut, Milan Talkies, directed by Tigmanshu Dhulia and co-starring Ali Fazal. “I’ve never felt this kind of nervousness in a long time. I’d forgotten this feeling. I was sitting with the script and going over it again and again and wasn’t talking to anyone. The funny thing is that I speak Hindi pretty well and I couldn’t put a finger on why I was so nervous. But then I know that it is a big project and it means a lot to me as a lot depends on this,” says Shraddha, adding, “I have my mum and dad here for moral support as well.”
Shraddha says that while her mother has accompanied her to film sets before, this was the first time her father was on one. “He was like an enthusiastic kid on the set and he was asking me some really basic queries. I found it really cute,” she reveals. 
Talking about her team, she says, “I’ve met Tigmanshu sir a number of times before and I understand his ways. But it was the first time that I met Ali and he was a sweetheart.” The team is currently shooting in Lucknow and then will move to Mathura and other interior parts of Uttar Pradesh.

"
Flying luxury: Falcon 8X debuts with flamboyance at aeroshow,9/3/2018,city,"HYDERABAD: With three luxury lounges, intelligent engineering and hi-tech fittings, DassaultAviation’s latestoffering – the majestic Falcon 8X – was a sighttobehold, as itflewinto the city for its maiden appearance at Wings India 2018. Priced at about $58million, the first of these business jets that can accommodate up to14 passengers was delivered to an Indian customer last year. “The Falcon 8X suits the Indian market as it can fly far, land at very challenging airports (owing to its flexibility) – those located at high altitudes in northern India, for instance – and assures low operating costs because of its specifications. Also, it has the quietest cabin,” said Vadim Feldzer, head of Falcon Global Communications, on Thursday. Given the potential of the market here, Feldzer is hopefulof being able tostrike more deals with Indian customers in the months to come. The French aerospace company, at present, has 26 Falcons in operation within India -- one-third of which comprise aircraftsfrom its popular Falcon 2000 range. “India is also a growing market for pre-owned aircrafts. We delivered four (in India and Bangladesh) in the last few months,” Feldzer said. The cost -- vaguely ranging between $18-20million for a five-year-old Falcon 2000. "
Monorail proposed along Buddha Nallah,9/3/2018,city,"LUDHIANA: On the pattern of Mumbai, city residents can experience travelling through monorail, as a transit corridor proposal is under consideration of the state government for the industrial town. The corridor is proposed alongside the Buddha Nallah to develop a secondary transport system, as well as reducing burden on the main roads. However, it is yet to be seen whether it will become a reality, or like previous projects of metro rail and BRTS (Bus Rapid Transit System), it will also remain on paper. It is not the first time that monorail has been proposed for the city, as a team of experts from Tata Reality and Infrastructure Limited had also visited the city in November 2010 for survey regarding the monorail. They had calculated its cost at Rs 2,500 crore. After this, representatives from Japan-based Hitachi India Private Limited visited the city in 2011 for a survey regarding the project. However, all these efforts could not yield fruit due to its higher cost. Earlier, the project was proposed for routes on main city roads, but this time it has been proposed on the road alongside Buddha Nallah. Sources revealed that chief minister Captain Amarinder Singh had asked officials to bring a list of projects that can bring certain qualitative changes in the existing conditions. The other projects included Halwara Airport, canal-based water supply, Cycle Valley, Satluj Corridor from Ladhowal to Neelon, land use of Mattewara Forest, construction of labour colonies, shifting of the city bus stand and Transport Nagar, shifting of dairy complexes, completion of common effluent treatment plants, construction of Food Park at Ladhowal, and reuse of industrial waste water. The monorail proposal has been included in the list of around 13 projects for the city, for which officials of various departments like Municipal Corporation (MC), Greater Ludhiana Area Development Authority (Glada), Public Works Department (PWD), Punjab Infrastructure Development Board (PIDB), Punjab Pollution Control Board (PPCB), and Irrigation Department have been involved. Meanwhile, deputy commissioner Pradeep Aggarwal, while confirming the move, said they had prepared a list of some very important projects for the city, which will be considered as per their priority and other conditions. He said all the departments concerned were working on these projects, and the CM would monitor them on a regular basis. CANAL WATER SUPPLY For canal-based water supply, financial calculations are going on after getting a report from the World Bank. The officials are now relying on canal-based water supply project in three wards, for which tenders have already been floated by MC under the Smart City Mission. The officials claimed that through this pilot project, they would be able to calculate the pros and cons of canal-based water supply, because they cannot rely anymore on tubewell water supply. "
Insurance firm fined for rejection of claim,9/3/2018,city,"LUDHIANA: The district consumer disputes redressal forum has penalized a health insurance company for improper rejection of claim of a person, who had to undergo treatment for a disease. Forum president GK Dhir and member Param Jit Singh Bewli ordered Religare Health Insurance to pay a compensation of Rs 25,000 for mental agony and harassment and litigation expenses of Rs 10,000 to 67-year-old Swarn Kanta Jain of Patel Nagar in Civil Lines. In her complaint, Swarn Kanta stated that by believing the representation of opposite parties Religare Health Insurance Company Limited, Noida, and its Mall Road branch in the city and after getting her medical checkup conducted and undergoing some tests, she had got herself medically insured through policy with validity for period from September 4, 2013, to midnight of September 3, 2016, by paying single premium of Rs.49,195. Shummy Jain was the nominee under this policy. In July 2014, the complainant suffered from fever and was having weakness due to which, she had to get herself admitted at Dayanand Medical College and Hospital from July 10, 2014, to August 14, 2014. While the insurance policy was for insured for a sum of Rs 4 lakh, the complainant had to spend Rs 6 lakh on her treatment. Factum regarding admission of complainant in the abovesaid hospital for treatment was disclosed to the company. Copies of discharge summary and list of payment of expenses were given to the insurer along with claim, but the same was denied vide letter dated November 20, 2014. Hence, the complainant had to pay expenses of treatment from her own pocket. On contacting the officer of the Insurance company at Mall Road for reconsideration of claim, the same again was finally repudiated vide letter dated May 22, 2015. The complainant said repudiation was illegal and unjustified, resulting in mental pain, agony and harassment. In joint reply filed by the health Insurance company’s Noida and Mall Road offices stated that the complainant concealed the material facts regarding pre-existing disease for which she had been getting treatment for the past many years and the complainant should have disclosed about the same under head ‘pre-existing disease details’ in the proposal form or at stage of medical examination report. As it was not done, the complainant was not entitled to any relief. The forum observed that if the complainant would have been knowing about any other medical ailment/condition, then she would have disclosed about the same in the proposal form itself. It added that the complainant herself was not aware of pre-existing medical ailment/condition in question and that is why, she did not disclose the same through the proposal form dated September 3, 2013. “Due to this improper repudiation of claim or cancellation of policy, the complainant suffered lot of mental tension and agony and as such she is entitled to compensation for mental harassment and agony as well as to litigation expenses to somewhat reasonable amount by keeping in view her suffering of pursuing this litigation since from July 2015,” the forum ruled. "
'Architecture should celebrate life’,9/3/2018,city,"How do you see the Pritzker Prize, and being the first Indian to receive it?• This award signals a lot of things for architects, planners and institutions. The award speaks volumes of what should be our priorities vis-avis improving quality of life, which is optimum use of energy and time. Planners should pause and see whether their works benefit families across all strata, children, their neighbourhoods and community, whether we have created opportunities for them to frequently gather and deliberate or rejoice so that the community feels that their time has been more meaningful, diverse and memorable. You worked with Le Corbusier for seven years. What quality of his influenced you?• He taught me to value freedom. He taught me to make choices. He insisted that one should make exceptions and break rules that architecture prescribed. Such was my guru, that he could be formal and informal, caring and detached, all in a single moment. In his works, he was deeply concerned about the condition of man. This has influenced all my works, the Aranya low income housing in Indore, IFFCO housing Kalol, ATIRA housing, Bimanagar housing, the Bhadra Plaza, Cept University, all depict an architecture that is personal, how people live and connect, and are laced with sights, sounds, and community’s memories. You worked with Louis Kahn as well? How were they different?• Both were opposite ends. I worked with Kahn in 1962. Louis Kahn loved the sun, moon, wind and the shadows which would hit the parallel wall revealing its texture. He considered Corbu as his guru. Kahn never had anything except boiled potatoes and fish. Corbu loved to savour all foods, he was a mystic. When our cities are turning into an urban jungle, how should architecture be?• Architects, like doctors, should find humane ways of making habitations efficient. The slums, crowd, chaotic traffic have nearly ended that graceful ways of living. Today, architects talk more of marketability rather than grace. Today in our cities, people have no time to stop because planners have not given them spaces for pause and relaxation — public spaces, parks and gardens. Where are the big shady trees where one can go, sit and ponder! While designing our cities, we have almost forgotten how we have squandered away our resources. This should change. "
"Now, RTO puts a price on 'BOSS' and 'PAPA'",9/3/2018,city,"LUCKNOW: 'PAPA' will have to dole out money if his children wish to 'BOSS' around on vehicles. The regional transport office (RTO), Lucknow, has identified 25 fancy numbers which will be made 'paid' like VIP numbers. Reason: These registration numbers read like words when embossed in a stylish way on the number plates. For example, registration number 4141 can be written as 'PAPA' and '8055' as 'BOSS'. Similarly, 0214 reads like 'RAM' when written in Hindi. RTO officials said the proposal would serve dual purpose. First, it would discourage the practice of fancy number plates, and second, it would fetch additional revenue to the department. The proposal has been sent to the transport department for consideration. In 2016, TOI had run a long campaign highlighting the rampant display of fancy registration numbers on vehicles plying on Lucknow road. The campaign had even led to a crackdown on such vehicles by RTO. The registration numbers have to be written as per the specifications in Section 51 of the Central Motor Vehicles Rules, 1989. Sporting fancy registration number plates is a punishable offence, but a meagre fine of Rs 100 fails to curb the practice among riders, especially youngsters. ""Putting a price tag on such numbers might discourage the practice of stylish number plates,"" said ARTO (administration), Lucknow, Raghvendra Singh. In the proposal, RTO has stated that fancy numbers are in high demand and added that people wait for weeks to get them and even keep their vehicles unregistered till they get the preferred registration numbers. Also, it mounts pressure on RTO employees to allot such numbers as there are many requests for the same number. Online auction for 350 registration nos.The state transport department holds online auction for about 350 registration numbers which have been categorised as the ‘Most attractive numbers, ‘Most important numbers’, ‘Attractive numbers’ and ‘Important numbers’. The registration numbers that RTO Lucknow has proposed to make paid numbers are in addition to this series and may not be auctioned. TIMESVIEWThe proposal to put a price tag on vehicle registration numbers that are often depicted in a way on number plates to represent words like &quot;BOSS&quot;, is an innovative move to curb this practice. TOI feels that along with such steps, the RTO -- along with city police --needs to crackdown heavily on those who violate norms laid down for painting number plates."
No ‘nokkukooli’ from May Day,9/3/2018,city,"THIRUVANANTHAPURAM: The state will do away with the infamous practice of headload workers demanding ‘nokkukooli’ from entrepreneurs from May 1. All trade unions have pledged their support to end this unethical practice followed by them for years in the state during a discussion convened by chief minister Pinarayi Vijayan on Thursday. Nokkukooli is the practice of accepting wages for manual work in lieu of some work done by machinery hired by the entrepreneur. The CM has asked all district collectors to convene a meeting to ensure this in all districts before May 1. During the previous UDF regime, there were efforts to make Thiruvananthapuram, Ernakulam and Kozhikode districts free of nokkukooli. But, there are still complaints from these places. Vijayan asked all trade unions to stop supplying labourers to various industries in the state. The government will soon come out with a proposal to help labourers who are losing their jobs due to latest technology, he said. Though none of the industries have been affected due to the trade union activities in the state in the last decade, the impression about Kerala, outside the state, is the other way around, he added. Anathalavattom Anandan (CITU), R Chandrashekar and Varakala Kahar (INTUC), K S Indushekaran Nair (AITUC), G Mahin Aboobaker (STU), G Sugunanan (HMS), G K Ajith and Sivaji Sudarshan (BMS) represented various trade unions in the meet. "
"When you hear ‘PM’, think of ‘poshan mission’: Narendra Modi",9/3/2018,city,"JHUNJHUNU: Prime Minister Modi on Thursday redefined the acronym “PM” as “poshan mission” and said every time one hears the word the nutrition mission should come to mind. In Jhunjhunu, Rajasthan, to launch the National Nutrition (Poshan) Mission and the pan-India expansion of the Beti Bachaho Beti Padhao (BBBP) programme on Women’s Day, Modi also presented teddy bears to the daughters of 200 women chosen to meet him because they were mothers only to girls. “When someone says PM, be it to criticise or to compliment, it is the poshan (nutrition) mission that should come to your mind, and not Narendra Modi,” the PM said. He also praised the district to improve sex ratio under the BBBP programme. “In the 18th century, when a girl was born people used to drown her in a big utensil filled with milk. But we are worse than even them. In those times, those people at least allowed girls to take birth. She could see the face of her mother and her mother could see her face. Today, we misuse technology and kill girls in the womb of the mother,” Modi said. “A jan andolan (public revolution) is needed to save the girl child and to improve nutrition levels among girls,” he said and urged mothers-inlaw to take the lead. Two hundred women from Jhunjhunu, all under 30 years of age and mothers only to girls, were proud that their daughters were the reason they were getting to meet the PM. Modi spent 10 minutes interacting with them and playing with the young girls. “I am so proud of my daughter and so glad I made this decision. It is because of her that PM chose to meet me. No son can give me what my daughter has given me today,” said Pooja Kumari. whose daughter is 17 months old. "
The Yogi and the Acrobat,9/3/2018,city,"A series of seemingly disparate coincidences have marked my life. Now when I think about them, I sense an undercurrent, a binding thread that joins them together. Were these coincidences just a series of happenstance? I don’t think so,” says the 2018 Pritzker Prize winner, architect and educator, B V Doshi.Born in Pune, in 1927, into an Hindu joint family involved in the furniture industry, Doshi reminisces in his recent book ‘Paths Unchartered’ about how after high school he joined a painting class at an institute of Modern Art, run by Venkatesh Patil. Two years later, Doshi joined the JJ School of Art where his senior Hari Kanhere invited him midway through his course to London, where he joined the Royal Institute of British Architects (RIBA). This was the turning point in Doshi’s life. One day Doshi learnt that the CIAM Congress was to be held at Hoddesdon in 1950. “A Colombian architect, Germán Samper, who worked with Le Corbusier realised that I was the only Indian at CIAM and asked me what Chandigarh meant. I promptly responded that ‘Chandigarh’ meant Goddess Chandi’s house”. Doshi worked with Corbusier between 1951 and 1954 — during which his work consisted of the Shodhan and Sarabhai houses, Sanskar Kendra and the Mill Owners building — and returned to Ahmedabad to supervise his projects. He established his studio, Vastu-Shilpa, in 1955, and also worked closely with renowned American architect Louis Kahn, who designed the IIM Ahmedabad campus. In his book, Doshi says how he got he got his first job in Ahmedabad. “I spoke to Kasturbhai Lalbhai about starting my practice in Ahmedabad. He asked me how much money I need per month? I said ‘perhaps Rs 500. He then said ‘If I provide you with enough work to earn, would you stay. ‘Yes’ I said,” says Doshi in his book. In 1996, his dream project, the Husain-Doshi Gufa (which he conceptualised with noted painter M F Husain), was vandalised by Bajrang Dal activists who forced their way in and destroyed about 23 tapestry items and 28 Husain paintings. The gallery reopened in 2006 and was renamed ‘Amdavad ni Gufa’. In Video:The Yogi and the Acrobat"
National SC panel suggests using robots for manual scavenging,9/3/2018,city,"CHANDIGARH: A delegation of the National Commission for Scheduled Castes (NCSC) led by their chairman Ram Shankar Katheria and vice-chairman L Murugan suggested that the Punjab government should use robots for cleaning sewers to completely abolish the illegal practice of forced manual scavenging. The commission also pointed out that many police officers were still registering cases under the relatively milder provisions of the old SC and ST Prevention of Atrocities Act. In a meeting with chief minister Amarinder Singh, the commission underlined the need for police officers to register cases under the more stringent clauses of the amended Act of 2015, which was notified in 2016. This will ensure that victims and their families get higher compensation to which they were entitled to under the amended legislation. Amarinder directed DGP (intelligence) Dinkar Gupta to arrange for the sensitization and training programme of the police officers. He assured the delegation of stringent measures to ensure strict enforcement of the Act in order to prevent atrocities against SCs and STs. On the issue of recent deaths of some SC persons in reported cases of forced manual scavenging, Amarinder assured the delegation of complete implementation of the Supreme Court guidelines in this regard. He also sought a report on the viability of using robots. NSC alliance group meets Katheria A delegation of the National Scheduled Castes Alliance led by Paramjit Singh Kainth met the NCSC chairman and pointed out many cases of rape and sexual assault of SC women. He said in cities like Faridkot and Mohali, women have been harassed or assaulted sexually but they are yet to get justice. Capt orders review of cases Punjab chief minister has ordered a review of all cases filed under the SC/ST (Prevention of Atrocities) Act in the state since January 2016 to identify those which have not been registered under the amended provisions, leading to denial of legal compensation to the victims and their families. "
Will reach out even to Sangh for 'humanity board': Maulana Salman Nadwi,9/3/2018,city,"LUCKNOW: Sacked All India Muslim Personal Law Board (AIMPLB) member Maulana Salman Nadwi on Thursday held the first meeting of his newly formed Humanity Welfare Board and said that he would meet RSS, VHP and Bajrang Dal for their support to ensure peace.  ""Since 1947, there has been no such inter-religion united organisation that has worked to strengthen ties between communities and helped them all. This board will have representation from all religions and tribes to undertake welfare work within social, economic and legal limits,"" he said. ""This is our dream that we bring all religions together like a family against issues, such as Babri Masjid dispute, gau rakhsha, love jihad and other social welfare issues that divide people,"" he added.  He claimed that Art of Living founder Sri Sri Ravi Shankar was also supportive of the newly formed board.  To be headed by a former chief justice, who will be chosen unanimously for a five-year term, general secretary to the board will be appointed from every religion. ""We have made conveners in several states and they will then be forming inter-religious district level committees,"" he said. There will be eight committees in the board, including those for social reform, legal assistan- ce, medical assistance, women rights, children rights, finance committee, Shariah application bench and one for an Islamic university. "
"Anganwari workers observe ‘black day’ in Bathinda, Ferozepur",9/3/2018,city,"Bathinda/Ferozepur: Anganwari workers, who have been protesting in Bathinda for over a month for their demands, observed ‘black day’ on the occasion of the International Women’s Day. Hundreds of anganwari workers and helpers scaled the wall of the Bathinda senior superintendent of police (SSP) office and held a protest at the entrance of the deputy commissioner’s office. Anganwari workers in Punjab are protesting since January 29, for higher emoluments on the pattern of Delhi and seeking return of children aged 3 to 6 to the anganwari centres. There are 27,000 anganwari centres in Punjab where 54,000 workers and helpers are working. A worker gets Rs 5,600 per month and helpers Rs 2,800 per month as wages. They are demanding Rs 10,000 and Rs 5,000 per month respectively as given by Delhi government. Holding black flags, anganwari workers and helpers reached the gate of the SSP’s office to hold a protest at the nearby DC office. As the employees shut the iron gate, the workers had heated exchanges with them and scaled the gate. The forcibly reached the gate of DC’s office and protested for nearly an hour. Anganwari workers union president Hargobinder Kaur said, “We have not got the wages for the last six months and are forced to pay rent of the anganwari centres from own sources. We are holding protest for the last 38 days for giving us the rent and to raise the wages. We also want the children to be return to anganwari centres but nobody is paying.” Meanwhile, on the call given by the All India Anganwari Employee Union, anganwari helpers and workers observed International Women Day as ‘black day’ in Ferozepur on Thursday. Several anganwari workers, in support of their long-pending demands, protested against the Congress government in the state by wearing black dupattas and black flags. They also burnt effigies of former Congress president Sonia Gandhi and Punjab chief minister Amrinder Singh. Leader of anganwari workers in Ferozepur, Jaspal Kaur, said their union had been protesting throughout Punjab but the government was indifferent. "
Economic Survey puts Himachal’s per capita income at Rs 1.58 lakh,9/3/2018,city,"SHIMLA: The Economic Survey report for the year 2017-18 tabled by chief minister Jai Ram Thakur in the state assembly on Thursday has revealed that state economy has shown a shift from agriculture and allied sectors to industries and services. Growth rate of state for the current financial year, 2017-18, has been estimated at 6.3%, while per capita income is estimated at Rs 1,58,462. The growth rate of state for last three years is below the national growth rate. The gross state domestic product (GSDP) at current prices in 2016-17 increased to Rs 1,24,236 crore from Rs 1,13,355 crore in 2015-16 and as per advance estimates it is likely to be about Rs 1,35,914 crore in 2017-18. Agriculture sector in the state generates about 10% to the total GSDP. The percentage contribution of agriculture and allied sector in total state domestic product has declined from 57.9% in 1950-51 to 55.5% in 1967-68, 26.5% in 1990-91 and to 9.7% in 2016-17. The share of industries and services sectors respectively has increased from 1.1% and 5.9% in 1950-51 to 5.6% and 12.4% in 1967-68, 9.4% and 19.8% in 1990-91 and to 25.2% and 44% in 2016-17. Report said that declining share of agriculture sector did not, however, affect the importance of this sector in the state economy as the state economic growth still is being determined by the trend in agriculture and horticulture production. “It is the major contributor to the total domestic product and has overall impact on other sectors via input linkages, employment and trade,” it added. It said that during the year 2017-18, up to December last year, 5 lakh metric ton of fruits were produced in the state and it is envisaged to bring 3,000 hectares of additional area under fruit plants against which 2,552 hectares of area has already been brought under fruit plantation and 6.69 lakh fruit plants of different species were distributed up to December last year. Report said that growing off-season vegetables has also picked up in the state. During the year 2016-17, 16.54 lakh tons of vegetables were produced as against 16.09 lakh tons in 2015-16. It is anticipated that production of vegetables will be around 15.40 lakh tons in 2017-18. "
Air taxi service in Hyderabad: Pawan Hans,9/3/2018,city,"HYDERABAD: Ever wished that you could fly from one place to another instead of having to crawl on gridlocked roads? Well, you may have the chance tohop on to an air taxi or seaplane right here in Hyderabad if PSU helicopter services provider Pawan Hans Ltdhas itsway. The mini ratna is eyeing intra-city air taxi services in Hyderabad after rolling it out in Bengaluru airport earlier this week, Pawan Hans CMD BP Sharma saidon thesidelinesof WINGS INDIA2018. “We are exploring the possibility of offering a similar servicein Hyderabad, sayfrom the airport to Electronic City. We held preliminary discussions with Telangana IT minister KTR today. Hyderabad needs a service like this. We need to get the airport on line so that we can quickly dothis,” hesaid. According to him, intra-city connectivity is the way forward because cities are growing rapidly and road traffic is worsening. Citing the example of Brazilian city of Sao Paulo, which has over 500 helipads and 100 helicopters, he said the time is ripe for air taxi services tofly into major Indian cities. Pawan Hans, which is looking at launching sea plane services, may explore services from Hussainsagar provided the trees and buildings around thelake are not a hindrance. "
82-year-old debt-ridden farmer ends life in Payal,9/3/2018,city,"LUDHIANA: An 82-year-old debt-ridden farmer ended his life at a village in Payal on Wednesday evening. This is the second suicide by a farmer in Payal in less than 10 days. The deceased was identified as Joginder Singh of Chankiyaan Khurd. Police officials said his son had died in 2014 and he had two grandsons. Joginder had taken a loan of Rs 5 lakh from two banks and due to losses in farming, he sold three of his 10 acres. His family members said he remained upset because of the debt. The family told the police that Joginder went to meet his daughter in a Doraha village and after returning from there, he told his grandson that he has consumed poison. Parminder Singh, his grandson, said they rushed him to a private hospital in Doraha and when his condition worsened, doctors referred him to a Ludhiana hospital, but he died on the way. Payal DSP Rashpal Singh Dhindsa said Joginder’s family told that he was upset because of debt. The police have initiated inquest proceedings under Section 174 of the CrPC. Leader of opposition Sukhpal Singh Khaira visited the family on Thursday. Khaira said, “I condemn chief minister Captain Amarinder Singh’s approach towards farmers’ debt waiver. There has been a spurt in farmer suicides. Since the Congress government came to power in Punjab, 365 farmers have committed suicide so far, as per media reports.” Holding the CM at fault, he added, “Amarinder Singh had vowed to waive their debts. But after taking over the state reins, he is running away from his promise because of which farmers have lost all hope. He is responsible for their taking the extreme step.” Another debt death On February 28, 42-year-old Jaspal Singh, a farmer who was under a debt of Rs 20 lakh, had ended his life by consuming poison at his house in Ramgarh Sardaran, Payal. The police had booked financier Devinder Singh of Nizampur village for abetment to suicide. In a suicide note, Jaspal had alleged that Devinder was harassing him for money. "
Retired HC judge seeks probe in ‘rape survivor’ turning hostile in case against Langah,9/3/2018,city,"CHANDIGARH: The Punjab Human Rights Organisation (PHRO) headed by Justice Ajit Singh Bains (retd) has given documents to DGP Suresh Arora submitting that the alleged rape survivor had turned hostile against former minister Sucha Singh Langah after he facilitated transfer of the controversial land back in her name on January 9. Justice Bains has sought a high level probe in the case submitting that the woman has committed perjury “after taking bribe/consideration and even denied scientific evidence”. He also alleged that his information proves that the rape case complainant was paid huge amount to depose in favour of Langah before the court. “It is also learnt the victim had taken Rs 25 lakh from the political opponent of Langah to release the said video during the Lok Sabha byelections of Gurdaspur constituency and later on at the time of deposing in favour of accused during trial, the so called victim had taken Rs 2 crore, in addition to the money which Sucha Singh Langah was not returning to her,” Justice Bains submitted. It was on September 29, 2017, that an FIR on allegation of rape was registered against Langah at police station Gurdaspur city on the complaint of a female employee of Punjab police. The complainant had alleged that Langah had raped her for years on the pretext of providing job. She also alleged financial embezzlement by Langah during their relation. The complainant had also produced a video recording to prove Langah’s sexual acts with her and had recorded her statement before the judicial magistrate. It was also mentioned in the FIR that one acre land of the complainant was sold to one Gurdev Singh Sohal for Rs 30 lakh on January 9, 2015, on the pretext to arrange plot at Chandigarh by Langah. But the complainant submitted that out of sale amount only Rs 4.50 lakh were paid to her and rest were kept by Langah. Whereas on February 28, during the case trial, the complainant turned hostile denying any illicit relation with Langah, making of video, and later handing it over to the police. Justice Bains has submitted that his organization has received important documents, including sale deed of the one acre plot dated January 9 in the name of complainant. The sale deed mentions that Rs 8 lakh has been paid by the complainant to Gurdev Singh “but the mode of payment is not mentioned which shows that the same is not paid.” Justice Bains has also submitted that it appears that the purchaser lady being a government employee has also not taken permission from the government before purchase of land. He has submitted “from the very beginning, the facts of the case are very suspicious”. "
Boeing bets big on India to fuel aviation sector,9/3/2018,city,"HYDERABAD: US aerospace giant Boeing is betting big on Asia and India’s soaring civil aviation sector, in particular, to fuelfuture growth, a top official of the company said here on Thursday. “Airlines in India will need 2,100 new airplanes valued at over $290 billion till 2036. In fact, of the total 41,030 aircraft deliveries worth $6.1 trillion by 2036, nearly 40% or 16,050 valued at $2.5 trillion will be in Asia,” Dinesh A Keskar, senior vice president (Asia Pacific & India Sales, Boeing Commercial Airplanes, saidhere on thesidelinesof WINGS INDIA2018. Pointing out that India’s economy will be the third largestin theworldby 2037, hesaid robust LCC (low cost carrier) market penetration, continued liberalisation, growing middle class and growing investment in the requisite infrastructure is giving wings to India’s civil aviation sector. Keskar also said Boeing is looking at a bigger play in the global commercial aviation services market that is poised to emerge as a $8.5 trillion market in next two decades. "
Khattar favours all party meeting on SYL canal issue,9/3/2018,city,"CHANDIGARH: Haryana Chief Minister Manohar Lal Khattar on Thursday favoured an all-party meeting on the Satluj-Yamuna Link (SYL) canal issue. The chief minister also said the opposition should not use the issue to derive political gains and as a “ladder to come to power.” “We must move forward on the canal’s construction rather than politicizing the issue. We should have another round of all-party meeting on it to decide the line of action,” he said in the state assembly’s ongoing budget session. “The Presidential Reference on the SYL canal was pending in the Supreme Court for 12 long years and it was the present state government that strongly pleaded the case in the court and ensured its early hearing,” Khattar said. He said that because of the efforts of his government, the apex court had given its decision in favour of Haryana. “Now, the execution order is to be passed by the Supreme Court,” Khattar said, adding “Haryana will not leave even a single drop of its share of water.” Leader of Opposition Abhay Singh Chautala had on Wednesday, in Delhi, threatened to launch a ‘jail bharo andolan’ on May 1 if the government failed to start the canal’s construction. Meanwhile, Khattar said the three-and-a-half year old BJP government ensured equitable development, brought transparency in recruitment and curbed corruption. “A strong message has gone out that now jobs are given only on merit. This government represents 2.5 crore people of Haryana. We believe in ‘sabka saath sabka vikas’,” he said. Khattar said that his government had ensured equitable development. “Earlier, there was a perception that more development works remained concentrated in regions from where chief ministers came,” he said. “I have told in my constituency that development works in Karnal will happen in the same manner as in rest of Haryana,” he said. Khattar claimed that out of the 4,500 CM’s announcements, work on 3,200 had either been completed or nearing completion. Chautala has sought that a complete record pertaining to these announcements be placed before the House. Taking a dig at the opposition, Khattar said they even tried to make a big issue when the governor said that some part of his address speech on the opening day of the assembly be treated as read. “They tried to give a twist to this as well,” he said. "
Caste divide in school: One more teacher arrested in Kullu,9/3/2018,city,"MANALI: Police arrested one more teacher in connection with caste discrimination against dalit students of Government High School, Chestha, in Kullu, on Wednesday evening. The teacher, however, was granted bail by the sessions court on Thursday. Police had arrested the school headmaster, a teacher and a midday meal worker in the case on February 27. All three were released on bail by the sessions judge on February 28. Cops claimed two more arrests are likely in the next few days as hunt is on for a teacher who is missing from Kullu and trying to move the Himachal Pradesh high court for anticipatory bail, and another teacher who has been transferred to other station. Deputy superintendent of police Sher Singh Thakur, who is investigating the case, said the accused teacher, identified as Sanjay Kumar, was produced before the court in Kullu on Thursday. “The sessions court granted him bail. Police will arrest two more accused very soon. We are conducting an impartial and fair investigation,” he said. Amid this tumult, it is the students who are suffering the most as there are only two teachers left in the school to take care of classes. The education department has, however, assured the parents that more teachers would be arranged in a few days. The police action against the school management followed after Kullu deputy commissioner Yunus received an anonymous complaint that Dalit students in the school were facing caste discrimination during midday meals and that on February 16, when PM’s “Pariksha Par Charcha” was being telecast, the (Dalit students) were made to sit outside the house while other students watched the programme. A video also went viral on WhatsApp and Facebook, showing some students outside the house. "
